Timestamp, PositionX, PositionY, PositionZ, RotationY, Collision, GoalX, GoalZ, UpArrow, DownArrow,  LeftArrow, RightArrow, Space
10-28-2020 10:56:13.180 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.216 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.256 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.292 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.321 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.357 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.389 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.432 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.460 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.500 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.529 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.561 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.605 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.637 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.669 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.704 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.732 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.764 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.804 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.840 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.873 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.909 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.937 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:13.985 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.012 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.044 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.081 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.112 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.152 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.189 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.220 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.252 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.285 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.324 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.360 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.397 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.452 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.470 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.493 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.524 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.568 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.601 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.632 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.664 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.700 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.737 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.764 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.801 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.832 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.877 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.908 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.945 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:14.972 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
10-28-2020 10:56:15.009 AM, 0, 0.184205, 0, 9.999999, 0, NaN, NaN, 0, 0, 0, 0, 0
